GeneID,Total_Votes,MLP (Masked),Univariate (ANOVA),Lasso (L1),Random Forest,SVM,XGBoost
HORVUMOREXr31HG0005750,6,1,1,1,1,1,1
HORVUMOREXr35HG0495580,6,1,1,1,1,1,1
HORVUMOREXr33HG0221750,5,0,1,1,1,1,1
HORVUMOREXr33HG0288880,5,0,1,1,1,1,1
HORVUMOREXr33HG0296420,5,0,1,1,1,1,1
HORVUMOREXr35HG0433510,5,0,1,1,1,1,1
HORVUMOREXr32HG0209180,4,0,1,1,1,0,1
HORVUMOREXr32HG0211040,4,0,1,1,1,1,0
HORVUMOREXr34HG0383820,4,0,1,1,1,1,0
HORVUMOREXr35HG0448080,4,0,1,1,1,0,1
HORVUMOREXr31HG0034640,3,1,1,0,1,0,0
HORVUMOREXr31HG0080260,3,1,1,0,1,0,0
HORVUMOREXr32HG0108200,3,1,1,0,1,0,0
HORVUMOREXr32HG0119590,3,1,0,1,0,0,1
HORVUMOREXr33HG0254020,3,1,1,0,1,0,0
HORVUMOREXr33HG0279580,3,0,1,1,1,0,0
HORVUMOREXr34HG0357220,3,0,1,1,0,0,1
HORVUMOREXr35HG0497360,3,0,0,1,0,1,1
HORVUMOREXr31HG0048100,2,0,0,1,0,1,0
HORVUMOREXr31HG0056750,2,0,0,1,0,1,0
HORVUMOREXr31HG0069750,2,1,0,0,0,0,1
HORVUMOREXr31HG0081820,2,1,1,0,0,0,0
HORVUMOREXr32HG0111290,2,1,1,0,0,0,0
HORVUMOREXr32HG0170290,2,0,1,1,0,0,0
HORVUMOREXr32HG0203360,2,0,0,1,0,0,1
HORVUMOREXr33HG0222780,2,0,0,1,0,0,1
HORVUMOREXr33HG0295580,2,0,1,0,1,0,0
HORVUMOREXr34HG0362140,2,0,1,1,0,0,0
HORVUMOREXr35HG0448240,2,0,1,0,1,0,0
HORVUMOREXr35HG0461880,2,0,1,0,0,0,1
HORVUMOREXr35HG0500140,2,0,1,0,1,0,0
HORVUMOREXr35HG0510500,2,0,1,0,1,0,0
HORVUMOREXr35HG0513490,2,1,1,0,0,0,0
HORVUMOREXr36HG0553900,2,0,1,0,0,0,1
HORVUMOREXr31HG0002130,1,0,0,0,0,1,0
HORVUMOREXr31HG0013700,1,0,0,0,0,1,0
HORVUMOREXr31HG0016410,1,0,0,0,0,1,0
HORVUMOREXr31HG0018730,1,0,0,0,0,0,1
HORVUMOREXr31HG0034590,1,1,0,0,0,0,0
HORVUMOREXr31HG0045440,1,0,0,0,0,1,0
HORVUMOREXr31HG0067040,1,0,0,0,1,0,0
HORVUMOREXr31HG0073570,1,0,0,1,0,0,0
HORVUMOREXr32HG0110760,1,0,0,0,1,0,0
HORVUMOREXr32HG0111130,1,1,0,0,0,0,0
HORVUMOREXr32HG0111520,1,0,0,0,0,1,0
HORVUMOREXr32HG0121700,1,0,0,0,0,1,0
HORVUMOREXr32HG0128240,1,0,0,0,0,0,1
HORVUMOREXr32HG0131310,1,0,0,0,0,0,1
HORVUMOREXr32HG0132590,1,1,0,0,0,0,0
HORVUMOREXr32HG0136460,1,1,0,0,0,0,0
HORVUMOREXr32HG0141980,1,0,0,0,0,0,1
HORVUMOREXr32HG0144220,1,0,0,0,0,1,0
HORVUMOREXr32HG0176390,1,1,0,0,0,0,0
HORVUMOREXr32HG0178690,1,0,0,0,0,1,0
HORVUMOREXr32HG0197110,1,0,1,0,0,0,0
HORVUMOREXr32HG0197200,1,0,0,0,0,1,0
HORVUMOREXr32HG0201400,1,0,0,0,0,0,1
HORVUMOREXr32HG0202520,1,0,0,1,0,0,0
HORVUMOREXr32HG0217920,1,0,0,0,0,0,1
HORVUMOREXr33HG0236750,1,1,0,0,0,0,0
HORVUMOREXr33HG0238250,1,0,0,0,0,1,0
HORVUMOREXr33HG0240980,1,0,0,1,0,0,0
HORVUMOREXr33HG0248440,1,1,0,0,0,0,0
HORVUMOREXr33HG0260580,1,0,0,0,0,1,0
HORVUMOREXr33HG0268620,1,0,0,0,0,0,1
HORVUMOREXr33HG0271660,1,1,0,0,0,0,0
HORVUMOREXr33HG0280900,1,1,0,0,0,0,0
