,ck_B_1,ck_B_2,ck_B_3,ck_B_4,salt_B_1,salt_B_2,salt_B_3,salt_B_4
HORVUMOREXr31HG0005750,-0.44067840419108,-0.5786262046159195,-0.14053024012521428,-0.6930448877651282,-0.08520047204079138,0.6510443422581587,0.1006091995009676,0.20202431942168708
HORVUMOREXr35HG0495580,0.6974184047682762,0.8001473044435241,0.1235059334385603,0.9508519516492554,-0.7624520727895069,-0.7771190425370477,-0.23298821778924153,-0.37816522131177044
HORVUMOREXr33HG0288880,1.0460353217846665,0.7035714168699946,-0.25044770960745916,0.5348958075019435,-1.0107561104047502,-0.7081136053150933,-0.4163459526559849,-0.06646079466951416
HORVUMOREXr33HG0221750,0.5150227313381683,0.4538266227691929,0.20339390597134152,0.7671652116922214,-0.5048742648694104,-0.41261661403912625,0.03520002805665903,-0.5220397504415805
HORVUMOREXr33HG0296420,0.688231644204106,0.7206874591508172,0.2180726224105741,0.49530210619083953,-0.7124804535885141,-0.7201196088366224,-0.027305442547062898,-0.1837578941269953
HORVUMOREXr35HG0433510,0.8742335896402461,0.5701531050502291,0.460488206312605,0.6939649867857721,-0.7911127510824182,-0.5751332181896505,-0.13450750900391029,-0.31450506744166
HORVUMOREXr35HG0448080,-0.7948777602695783,-0.40876940801059547,-0.12094170711141089,-0.8918750611788381,0.563904981923015,0.4782601486842599,-0.1487622959663103,0.12560692287738695
HORVUMOREXr32HG0211040,0.8950352905559248,0.46255395716012626,0.7934414333135851,1.45231218895847,-1.1578201558412011,-0.407143469254076,-0.1945952547803583,-0.7042444513837987
HORVUMOREXr32HG0209180,0.47102529797210635,0.7834193049994922,-0.1099787080013674,0.8391475663524525,-0.6537577543887957,-0.7570572760770679,-0.1437730680614362,-0.256199742748832
HORVUMOREXr34HG0383820,0.6043664567610074,0.561187316059386,0.3838955983918186,1.136296079366192,-0.6666040464100922,-0.5596566208586353,-0.002423642283515269,-0.40901600044474906
