Original_Gene_ID,Importance
HORVUMOREXr35HG0495580,213.1798
HORVUMOREXr33HG0288880,155.66324
HORVUMOREXr32HG0209180,153.26736
HORVUMOREXr33HG0296420,137.42357
HORVUMOREXr35HG0510500,110.48753
HORVUMOREXr35HG0433510,93.71902
HORVUMOREXr34HG0383820,89.26921
HORVUMOREXr33HG0279580,84.94337
HORVUMOREXr31HG0034640,75.25991
HORVUMOREXr32HG0211040,75.043304
HORVUMOREXr31HG0005750,73.39144
HORVUMOREXr32HG0108200,72.290535
HORVUMOREXr35HG0448240,66.26514
HORVUMOREXr36HG0553900,65.78658
HORVUMOREXr34HG0362140,59.937084
HORVUMOREXr31HG0081820,55.3013
HORVUMOREXr33HG0221750,54.669212
HORVUMOREXr32HG0170290,54.547325
HORVUMOREXr35HG0461880,52.89268
HORVUMOREXr34HG0357220,50.381847
HORVUMOREXr35HG0476690,50.251976
HORVUMOREXr35HG0500140,47.387627
HORVUMOREXr32HG0111290,45.916996
HORVUMOREXr33HG0254020,44.301205
HORVUMOREXr31HG0080260,43.55615
HORVUMOREXr35HG0513490,42.816902
HORVUMOREXr32HG0197110,41.38077
HORVUMOREXr35HG0448080,41.325542
HORVUMOREXr33HG0295580,40.377632
HORVUMOREXr35HG0458980,40.264763
