Original_Gene_ID,Importance
HORVUMOREXr35HG0495580,0.17100398
HORVUMOREXr33HG0288880,0.14048177
HORVUMOREXr35HG0448080,0.13292553
HORVUMOREXr35HG0469390,0.12705982
HORVUMOREXr32HG0141980,0.05353417
HORVUMOREXr33HG0296490,0.05050953
HORVUMOREXr32HG0203360,0.04163347
HORVUMOREXr32HG0217920,0.038206052
HORVUMOREXr35HG0456950,0.033189613
HORVUMOREXr33HG0296420,0.029784063
HORVUMOREXr35HG0433510,0.026564032
HORVUMOREXr32HG0209180,0.024594856
HORVUMOREXr35HG0497360,0.016716963
HORVUMOREXr31HG0005750,0.0133841345
HORVUMOREXr32HG0131310,0.012870131
HORVUMOREXr31HG0069750,0.010324212
HORVUMOREXr34HG0357220,0.010296965
HORVUMOREXr33HG0222780,0.010141456
HORVUMOREXr32HG0128240,0.009697174
HORVUMOREXr35HG0493390,0.009124714
HORVUMOREXr35HG0426280,0.007176885
HORVUMOREXr33HG0221750,0.0053016027
HORVUMOREXr32HG0201400,0.004237264
HORVUMOREXr36HG0553900,0.003656173
HORVUMOREXr35HG0461880,0.003330252
HORVUMOREXr33HG0268620,0.0032932071
HORVUMOREXr34HG0410300,0.0028081187
HORVUMOREXr31HG0018730,0.0024756906
HORVUMOREXr32HG0119590,0.0022576535
HORVUMOREXr35HG0507580,0.0016473496
