Original_Gene_ID,Importance
TraesCS3A02G122100,92.509155
TraesCS4B02G007300,64.39929
TraesCS5B02G296200,54.168697
TraesCS2A02G284200,54.15023
TraesCS7A02G076800,52.9094
TraesCS2A02G492900,45.246323
TraesCS7A02G320500,43.910248
TraesCS7B02G245300,43.379215
TraesCS1A02G273000,43.30046
TraesCS7A02G292900,42.180138
TraesCS6B02G245900,39.604095
TraesCS1D02G186100,39.31771
TraesCS7D02G341300,39.05065
TraesCS4D02G102300,38.238216
TraesCS2A02G097500,37.566425
TraesCS3A02G205000,37.110737
TraesCS6D02G162100,36.15543
TraesCS7A02G220000,35.558327
TraesCS1A02G301600,35.377346
TraesCS3A02G291700,34.464607
TraesCS1A02G217300,34.11832
TraesCS3A02G168900,33.475998
TraesCS3A02G150300,33.45684
TraesCS2D02G578100,33.414227
TraesCS3B02G557500,32.389725
TraesCS6D02G324200,31.903131
TraesCS4D02G091300,31.843082
TraesCS2A02G340000,31.537352
TraesCS6D02G332000,31.329826
TraesCS5B02G512800,31.109024
